core_id,throughput,unit
0,9472903942.385798,ops/sec
1,9799512172.444447,ops/sec
2,9853557657.78471,ops/sec
3,9667492633.068504,ops/sec
4,9691974887.782923,ops/sec
5,9731130896.85732,ops/sec
6,9793450018.209696,ops/sec
7,9727486508.24372,ops/sec
8,9763177865.188704,ops/sec
9,9817641385.583954,ops/sec
