core_id,throughput,unit
0,7739868200.028984,ops/sec
1,7922771454.224344,ops/sec
2,7865202231.554503,ops/sec
3,7939771560.703746,ops/sec
4,7747752546.468356,ops/sec
5,7852433150.028097,ops/sec
6,7949690384.40231,ops/sec
7,7998051130.877042,ops/sec
8,7924283471.430482,ops/sec
9,7995345365.779095,ops/sec
