core_id,throughput,unit
0,108.05420816033526,GFLOPs
1,109.88183712049764,GFLOPs
2,108.59566645630048,GFLOPs
3,109.73061307994043,GFLOPs
4,109.53032094118741,GFLOPs
5,107.62790183271079,GFLOPs
6,110.00731755294734,GFLOPs
7,108.7887282918963,GFLOPs
8,109.4517196394122,GFLOPs
9,109.56876946915376,GFLOPs
