core_id,throughput,unit
0,5329667715.790438,ops/sec
1,5489923007.508068,ops/sec
2,5466306710.369789,ops/sec
3,5450014510.663634,ops/sec
4,5495685677.906788,ops/sec
5,5532341481.874843,ops/sec
6,5481126426.291867,ops/sec
7,5529315604.703455,ops/sec
8,5558209847.789424,ops/sec
9,5513995073.653438,ops/sec
