core_id,throughput,unit
0,5364260685.066835,ops/sec
1,5414981023.686351,ops/sec
2,5421377104.708028,ops/sec
3,5432006322.07315,ops/sec
4,5455679357.98351,ops/sec
5,5423779057.97766,ops/sec
6,5511649905.509652,ops/sec
7,5521968687.196148,ops/sec
8,5504257026.786122,ops/sec
9,5480986235.399211,ops/sec
